fitness,cost,time215.67246717172583,400.5171343,30.8278
207.0592542,385.1297085,28.9888,,
206.0670607,382.3604214,29.7737,,
205.0808548,380.7654096,29.3963,,
200.495489,371.282078,29.7089,,
194.4583307,360.5555615,28.3611,,
189.009071,349.406142,28.612,,
178.1276938,327.4075875,28.8478,,
175.3063223,319.2382445,31.3744,,
174.7360634,318.2192268,31.2529,,
172.8901474,316.5638948,29.2164,,
172.8884898,316.2564796,29.5205,,
172.4804677,316.9182353,28.0427,,
169.5968093,310.9259187,28.2677,,
