iteration,fitness,time,cost
1,186.28671627826722,290.1708485565344,82.40258400000003
10,185.41595704295332,293.1671320859066,77.66478200000007
20,184.85508431790447,285.2956186358089,84.41455
30,175.6382425177118,274.3118110354236,76.96467399999999
40,175.6382425177118,274.3118110354236,76.96467399999999
50,175.6382425177118,274.3118110354236,76.96467399999999
60,170.1294732502356,263.3099345004712,76.94901200000001
70,170.1294732502356,263.3099345004712,76.94901200000001
80,164.88985578372217,250.82080756744432,78.958904
90,163.31974878372213,247.96325756744426,78.67623999999999
100,162.91653377879655,247.52279555759313,78.31027199999998
110,161.2734420003584,245.4830100007168,77.06387399999998
120,160.38596148779303,243.42999697558608,77.34192599999999
130,158.16877022390696,240.44051044781395,75.89703
140,153.2535561272965,234.972860254593,71.534252
150,153.11151831447143,232.12459262894282,74.098444
160,146.9184771867225,222.090030373445,71.74692399999999
170,145.42024266739557,220.19291733479116,70.64756799999999
180,141.20069892440063,213.9467058488013,68.45469199999998
190,138.5760372603453,208.30337252069063,68.84870199999997
200,136.90177730540432,207.7130846108086,66.09047000000001
210,133.76643686314276,200.82076772628557,66.71210599999998
220,132.76625194536524,200.1381758907305,65.394328
230,132.12101873718242,199.42138147436484,64.820656
240,131.75475586314278,198.11456772628554,65.39494400000001
250,130.65803141861406,197.34768683722808,63.968376000000035
260,130.61617910569495,196.38526821138993,64.84709
270,130.59833010569497,197.4215682113899,63.775092000000015
280,130.36143058870184,197.10817717740366,63.614684000000025
290,130.1686609806871,196.7285179613742,63.60880400000002
300,130.1686609806871,196.7285179613742,63.60880400000002
310,130.1686609806871,196.7285179613742,63.60880400000002
320,128.41215159142672,193.8568731828534,62.96743000000001
330,128.28650819949854,194.4285083989971,62.144508
340,127.7513786222078,191.24460324441557,64.258154
350,126.79742693816817,191.87015787633632,61.72469600000001
360,126.29679493816818,190.68335787633632,61.91023200000002
370,125.94236303038332,191.01639406076663,60.86833200000001
380,125.6421630303833,190.3769940607666,60.90733200000001
390,125.49537293816815,188.8335578763363,62.157188000000005
400,125.43553243299743,189.99636486599485,60.874700000000004
410,124.87702943299743,188.23721486599487,61.51684399999999
420,124.57088943299743,187.63621486599487,61.50556399999999
430,124.32767743299743,187.26036486599486,61.39498999999999
440,123.7102424856885,186.15931097137698,61.261174
450,123.7102424856885,186.15931097137698,61.261174
460,123.3025589023413,186.4100878046826,60.19503
470,122.99108596714846,185.05064193429695,60.93152999999999
480,122.82141990234132,186.66793780468262,58.974902
490,122.0491000667202,184.2041521334404,59.89404799999999
500,121.84456888685285,183.1160717737057,60.573066000000004
510,121.6923520667202,183.4530021334404,59.931701999999994
520,121.51299888685284,182.7091717737057,60.316826
530,121.25639330999095,184.1057406199819,58.407046
540,120.81116459157938,182.66952118315876,58.95280800000001
550,120.23036032784422,182.37393465568846,58.086786
560,119.75622134450467,179.61798468900932,59.89445800000001
570,119.72061088113644,180.95977176227288,58.48145
580,119.50690159157938,178.88172118315876,60.132082000000004
590,119.10349734450466,179.0833846890093,59.12361000000002
600,119.0276984133045,178.488986826609,59.56641000000002
610,119.0276984133045,178.488986826609,59.56641000000002
620,117.96120589118021,176.8102737823604,59.112138000000016
630,117.96120589118021,176.8102737823604,59.112138000000016
640,117.96120589118021,176.8102737823604,59.112138000000016
650,117.96120589118021,176.8102737823604,59.112138000000016
660,117.96120589118021,176.8102737823604,59.112138000000016
670,117.96120589118021,176.8102737823604,59.112138000000016
680,117.95351289118021,177.4060737823604,58.50095200000001
690,117.6706738911802,176.8102737823604,58.531074000000004
700,117.64237841009734,177.39673082019465,57.88802600000001
710,117.0675024817931,175.1149869635862,59.02001799999999
720,116.98217151634833,176.62407703269668,57.340266
730,116.8438540462315,175.59797209246298,58.08973600000001
740,116.83855379882192,176.03017159764383,57.64693600000001
750,116.64931149630439,175.2358249926088,58.062798
760,116.61187549630439,175.0302249926088,58.19352599999999
770,116.56056849630443,175.13922499260883,57.98191200000001
780,116.28185607872423,175.05593815744845,57.507774000000005
790,115.72216486764323,173.37178373528644,58.07254600000002
800,115.04418086764323,172.12978373528648,57.958578
810,114.89934586764323,172.14698373528648,57.651708
820,114.89934586764323,172.14698373528648,57.651708
830,114.88089546538961,171.92558293077923,57.836208
840,114.88089546538961,171.92558293077923,57.836208
850,114.88089546538961,171.92558293077923,57.836208
860,114.88089546538961,171.92558293077923,57.836208
870,114.88089546538961,171.92558293077923,57.836208
880,114.88089546538961,171.92558293077923,57.836208
890,114.88089546538961,171.92558293077923,57.836208
900,114.45738317874797,171.68861035749595,57.22615600000001
910,114.34145117874797,172.23441035749593,56.44849200000001
920,114.14020917874798,171.23161035749595,57.048808
930,114.14020917874798,171.23161035749595,57.048808
940,114.14020917874798,171.23161035749595,57.048808
950,114.14020917874798,171.23161035749595,57.048808
960,114.14020917874798,171.23161035749595,57.048808
970,114.14020917874798,171.23161035749595,57.048808
980,114.14020917874798,171.23161035749595,57.048808
990,113.98155517874798,170.88696035749595,57.076150000000005
1000,113.92910320811399,171.73392241622795,56.12428400000001
1010,113.91891563843186,171.2806472768637,56.55718400000001
1020,113.89094141423476,171.02964282846952,56.75224000000001
1030,113.64906422751152,170.52119245502303,56.776936000000006
